paper_id,duration,trt_id,year,fert_app,fert_type,fert_type_detail,fert_rate,fert_nitrogen,fert_phosphorus,fert_potassium,fert_carbon,fert_date,trt_name,trt_other_description
5000,2012-4,0,1;2;3;4,NA,unamended,NA,0 t/ha applied only at start of experiment,0 kg N/ha,NA,NA,NA,start of experiment: 3 Oct 2012,B0,NA
5000,2012-4,1,1;2;3;4,NA,biochar,eucalyptus wood based,2.5 t/ha applied only at start of experiment,0 kg N/ha,NA,NA,NA,start of experiment: 3 Oct 2012,B2.5,NA
5000,2012-4,2,1;2;3;4,NA,unamended,NA,0 t/ha per season,0 kg N/ha,NA,NA,48% carbon,before each growing season,T0,NA
5000,2012-4,3,1;2;3;4,NA,green manure,Tithonia diversifolia air dried leaves,2.5 t/ha per season,75 kg N/ha,NA,NA,48% carbon,before each growing season,T2.5,NA
5000,2012-4,4,1;2;3;4,NA,green manure,Tithonia diversifolia air dried leaves,5 t/ha per season,150 kg N/ha,NA,NA,48% carbon,before each growing season,T5,NA
5000,2012-4,5,1;2;3;4,NA,unamended,NA,0 t/ha per season,0 kg N/ha,0 kg P/ha,0 kg K/ha,0 kg C/ha,before each growing season,U0,NA
5000,2012-4,6,1;2;3;4,NA,nitrogen mineral fertilizer,urea,120 t/ha per season,120 kg N/ha,0 kg P/ha,0 kg K/ha,0 kg C/ha,before each growing season,U120,NA
5001,2012-4,0,1;2;3;4,NA,unamended,NA,NA,0 kg N/ha,0 kg P/ha,0 kg K/ha,0 kg C/ha,NA,unfertilized,NA
5001,2012-4,1,1;2;3;4,basal application,Nitrogen Mineral Fertilizer; Phosphorus Mineral Fertilizer; Potassium Mineral Fertilizer,NA,50 kg N/ha per maize season; 30 kg P/ha per maize season; 60 kg K/ha per maize season,50 kg N/ha,30 kg P/ha,60 kg K/ha,0 kg C/ha,before each growing season,NPK (maize),NA
5001,2012-4,2,1;2;3;4,basal application,Phosphorus Mineral Fertilizer; Potassium Mineral Fertilizer,NA,30 kg P/ha per soybean season; 45 kg K/ha per soybean season,0 kg N/ha,30 kg P/ha,45 kg K/ha,0 kg C/ha,before each growing season,PK (soybean),NA
5002,2018-1,0,1,NA,unamended,NA,0 t/ha per season,0 kg N/ha,0 kg P/ha,0 kg K/ha,0 kg C/ha,before each growing season,Control,NA
5002,2018-1,1,1,NA,animal manure; incinerated organics,cow manure; wood ash,"cow manure, 2640 kg/ha; wood ash, 8000 kg/ha",NA,NA,NA,NA,both applied at planting,CmWa,NA
5002,2018-1,2,1,NA,animal manure; mineral fertilizer; foliar fertilizer,cow manure; DAP; Agro-feed Plus,"cow manure, 2640 kg/ha; DAP, 256 kg/ha; Agro-feed Plus foliar feed, 2.5 L/ha",NA,NA,NA,NA,"all applied at planting, foliar feed only applied after 2 months",CmDCF,NA
5002,2018-1,3,1,NA,animal manure; incinerated organics; foliar fertilizer,cow manure; wood ash; Agro-feed Plus,"cow manure, 2640 kg/ha; wood ash, 8000 kg/ha; Agro-feed Plus foliar feed, 2.5 L/ha",NA,NA,NA,NA,"all applied at planting, foliar feed only applied after 2 months",CmWaF,NA
5002,2018-1,4,1,NA,phosphorus mineral fertilizer; nitrogen mineral fertilizer; potassium mineral fertilizer; foliar fertilizer,DAP; NPK; foliar fertilizer,"DAP, 256 kg/ha; NPK, 512 kg/ha; foliar fertilizer, 2.5 L/ha",NA,NA,NA,NA,"all applied at planting, foliar feed only applied after 2 months",DNF,NA
5003,2018-2,0,1;2,NA,unamended,NA,0 kg N/ha/season applied only at beginning of each growing season,0 kg N/ha/yr,Absent,Absent,Absent,before each growing season,control,NA
5003,2018-2,1,1;2,broadcast and hand hoed to incorporate,nitrogen mineral fertilizer; phosphous mineral fertilizer,NP,60 kg N/ha/season applied only at beginning of each growing season,120 kg N/ha/yr,Absent,Absent,Absent,before each growing season,inorganic fertilizer,NA
5003,2018-2,2,1;2,broadcast and hand hoed to incorporate,animal manure,goat manure,60 kg N/ha/season applied only at beginning of each growing season,120 kg N/ha/yr,Present,Present,Present,before each growing season,animal manure,NA
5003,2018-2,3,1;2,broadcast and hand hoed to incorporate,animal manure; nitrogen mineral fertilizer; phosphorus mineral fertilizer,goat manure & NP,60 kg N/ha/season applied only at beginning of each growing season,120 kg N/ha/yr,Present,Present,Present,before each growing season,combined inorganic fertilizer and animal manure,NA
5004,2019-2,0,1;2,NA,unamended,unamended,NA,NA,NA,NA,NA,Control,NA,NA
5004,2019-2,1,1;2,NA,insect frass,black soldier fly frass,NA,NA,Present,Present,Present,BSF frass,NA,NA
5004,2019-2,2,1;2,NA,animal manure; biochar; phosphorus mineral fertilizer,commercial organic fertilizer,NA,NA,Present,Present,Present,SAFI,NA,NA
5004,2019-2,3,1;2,NA,phosphorus mineral fertilizer; potassium mineral fertilizer; foliar fertilizer,45% urea; triple super phosphate (TSP); muriate of potash,60 kg P/ha; 50 kg K/ha,NA,Present,Present,Absent,NA,NA,NA
5004,2019-2,4,1;2,NA,NA,NA,0 t/ha,0,NA,NA,NA,0,NA,NA
5004,2019-2,5,1;2,NA,nitrogen mineral fertilizer,NA,2.5 t/ha,2.1% N,NA,NA,NA,2.5,NA,NA
5004,2019-2,6,1;2,NA,nitrogen mineral fertilizer,NA,5 t/ha,2.1% N,NA,NA,NA,5,NA,NA
5004,2019-2,7,1;2,NA,nitrogen mineral fertilizer,NA,7.5 t/ha,2.1% N,NA,NA,NA,7.5,NA,NA
5004,2019-2,8,1;2,NA,NA,NA,0 kg N/ha,0 kg N/ha,0 kg N/ha,Absent,Absent,0,NA,NA
5004,2019-2,9,1;2,NA,nitrogen mineral fertilizer,NA,30 kg N/ha,30 kg N/ha,30 kg N/ha,Present,Present,30,NA,NA
5004,2019-2,10,1;2,NA,nitrogen mineral fertilizer,NA,60 kg N/ha,60 kg N/ha,60 kg N/ha,Present,Present,60,NA,NA
5004,2019-2,11,1;2,NA,nitrogen mineral fertilizer,NA,100 kg N/ha,100 kg N/ha,100 kg N/ha,Present,Present,100,NA,NA
5005,2017-2,0,1;2,NA,unamended,NA,NA,NA,NA,NA,NA,NA,C,NA
5005,2017-2,1,1;2,NA,mineral fertilizer,"urea, triple superphosphate, muriate of potash",NA,80 kg N/ha,30 kg P/ha,40 kg K/ha,Absent,at planting and 6 weejs post-planting,"NTR, CTM, NTRM",NA
5005,2017-2,2,1;2,NA,animal manure,fully decomposed cow manure,2 t/ha,2.1% N,Present,Present,Present,NA,"CTM, NTRM",NA
5005,2017-2,3,1;2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C, CTM",conventional tillage (15 cm hand hoeing)
5005,2017-2,4,1;2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NTR, NTRM",no tillage
5006,2017-1,0,1,NA,unamended,NA,NA,NA,NA,NA,NA,NA,without manure,NA
5006,2017-1,1,1,NA,animal manure,cow manure,200 kg N/ha (10 t/ha) (maize); 100 kg N/ha (5 t/ha) (beans),100 kg N/ha,Present,Present,Present,NA,with manure,NA
5007,2018-1,0,1,NA,unamended,NA,NA,NA,NA,NA,NA,NA,control,NA
5007,2018-1,1,1,NA,mineral fertilizer,"NPK 23:23:0 was used for basal fertilization,  calcium ammonium nitrate (CAN) was used for first and second top dressing (21 and 45 days after transplanting, respectively)",50 kg of fertilizer/acre,Present,Present,Present,Absent,NA,standard fertilization,NA
5007,2018-1,2,1,NA,mineral fertilizer,"calcium ammonium nitrate (CAN) was used for first and second top dressing (21 and 45 days after transplanting, respectively)",50 kg of fertilizer/acre,Present,Present,Present,Absent,NA,under fertilization,NA
5008,2004-15,0,1;2;3;4;5;6;7;8;9;10;11;12;13;14,NA,unamended,NA,NA,NA,NA,NA,NA,NA,Control,NA
5008,2004-15,1,1;2;3;4;5;6;7;8;9;10;11;12;13;14,NA,mineral fertilizer,inorganic fertilizer (nitrogen [N] = 23% and phosphorus [P] = 23%; [NP]) applied at 120 kg N ha−1 yr−1; 60 kg N/ha/season,60 kg N/ha/season,60 kg N/ha,Present,Absent,Absent,NA,Fert,NA
5008,2004-15,2,1;2;3;4;5;6;7;8;9;10;11;12;13;14,NA,animal manure,goat manure,60 kg N/ha/season,60 kg N/ha,Present,Present,Absent,NA,Manure,NA
5008,2004-15,3,1;2;3;4;5;6;7;8;9;10;11;12;13;14,NA,mineral fertilizer; animal manure,inorganic fertilizer (nitrogen [N] = 23% and phosphorus [P] = 23%; [NP]) and goat manure applied at 120 kg N ha−1 yr−1; 60 kg N/ha/season,60 kg N/ha/season,60 kg N/ha,Present,Present,Present,NA,Man + Fert,NA
5009,2016-2,0,1;2,NA,animal manure,unspecified,1.7% N,1.7% N,0.53% P,Present,42.06% C,litter bag decomposition study,animal manure,NA
5009,2016-2,1,1;2,NA,green manure,Tithonia diversifolia,3.32% N,3.32% N,0.14% P,NA,41.3% C,litter bag decomposition study,green manure,NA
5009,2016-2,2,1;2,NA,NA,NA,NA,NA,NA,NA,NA,NA,ConvT,conventional tillage (15 cm hand hoeing)
5009,2016-2,3,1;2,NA,NA,NA,NA,NA,NA,NA,NA,NA,MinT,minimal tillage (holes dug for plants and weeds hand pulled)
5010,2017-2,0,1;2,NA,unamended,NA,NA,NA,NA,NA,NA,NA,Non-fertilized,NA
5010,2017-2,1,1;2,NA,mineral fertilizer,NPK added at 80% (2017) and 50% (2018) of water limited potential yields,NA,Present,Present,Present,Absent,basal and top dress,Fertilized,NA
5011,2016-2,0,1;2,NA,Unamended,NA,NA,NA,NA,NA,NA,NA,Control,NA
5011,2016-2,1,1;2,NA,Nitrogen Mineral Fertilizer,unspecified mineral fertilizer (60 kg N/ha),60 kg N/ha,NA,NA,NA,NA,NA,F,NA
5011,2016-2,2,1;2,NA,Nitrogen Mineral Fertilizer; Green Manure,mineral fertilizer and crop residue (equavilent to 60 kg N/ha),60 kg N/ha,NA,NA,NA,NA,NA,RF,NA
5011,2016-2,3,1;2,NA,Unspecified Mineral Fertilizer; Green Manure; Animal Manure,"unspecified mineral fertilizer, crop residue manure, unspecified animal fertilizer (equavilent to 60 kg N/ha)",60 kg N/ha,NA,NA,NA,NA,NA,RFM,NA
5011,2016-2,4,1;2,NA,Green Manure; Animal Manure; Legume Intercrop,"crop residue, unspecified animal manure, Dolichos lablab intercrop (equavilent to 60 kg N/ha)",60 kg N/ha,NA,NA,NA,NA,NA,RML,NA
5011,2016-2,5,1;2,NA,Green Manure; Animal Manure; Legume Intercrop,"crop residue, unspecified animal manure, Tithonia diversifolia (equavilent to 60 kg N/ha)",60 kg N/ha,NA,NA,NA,NA,NA,RTiM,NA
5011,2016-2,6,1;2,NA,Green Manure; Legume Intercrop; Mineral Fertilizer,"crop residues, Tithonia diversifolia intercrop, phosphate rock (Minjingu) (equavilent to 60 kg N/ha)",60 kg N/ha,NA,NA,NA,NA,NA,RTiP,NA
5011,2016-2,7,1;2,NA,NA,NA,NA,NA,NA,NA,NA,NA,D15,"conventional tillage, 15 cm depth"
5011,2016-2,8,1;2,NA,NA,NA,NA,NA,NA,NA,NA,NA,D0,"minimum tillage, 0 cm depth in interrow, mix in amendments in row"
5012,2016-1,0,1,NA,mineral fertilizer,selenium,NA,NA,NA,NA,NA,NA,soil Se,NA
5012,2016-1,1,1,NA,mineral fertilizer,"selenium, diammonium phosphate, urea",NA,200 kg N/ha,60 kg P/ha,Absent,Absent,NA,soil Se + P & N,NA
5012,2016-1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,control,"0 g Se/ha, selium rate"
5012,2016-1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 g Se/ha,"5 g Se/ha, selium rate"
5012,2016-1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,10 g Se/ha,"10 g Se/ha, selium rate"
5012,2016-1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,20 g Se/ha,"20 g Se/ha, selium rate"
5013,2014-2,0,1;2,NA,animal manure; nitrogen mineral fertilizer; phosphorus mineral fertilizer,decomposed animal manure; triple-super phosphate (TSP); di-ammonium-phosphate (DAP); calcium-ammonium-nitrate (CAN),NA,113 kg N/ha,60 kg P/ha,Present,Present,NA,conventional high,NA
5013,2014-2,1,1;2,NA,green manure,"compost, liquid manure from Tithonia diversifolia, crop residues",NA,113 kg N/ha,60 kg P/ha,Present,Present,NA,organic high,NA
5013,2014-2,2,1;2,NA,animal manure; nitrogen mineral fertilizer; phosphorus mineral fertilizer,fresh animal manure; triple-super phosphate (TSP); di-ammonium-phosphate (DAP); calcium-ammonium-nitrate (CAN),NA,31 kg N/ha,18 kg P/ha,Present,Present,NA,conventional low,NA
5013,2014-2,3,1;2,NA,animal manure; phosphorus mineral fertilizer,"decomposed animal manure, phosphate rock",NA,31 kg N/ha,18 kg P/ha,Present,Present,NA,organic low,NA
5014,2002-14,0,1;2;3;4;5;6;7;8;9;10;11;12;13;14,NA,unamended,NA,NA,NA,NA,NA,NA,NA,control,NA
5014,2002-14,1,1;2;3;4;5;6;7;8;9;10;11;12;13;14,NA,green manure,Tithonia diversifolia (low C:N),NA,variable,NA,NA,Present,NA,Tithonia,NA
5014,2002-14,2,1;2;3;4;5;6;7;8;9;10;11;12;13;14,NA,green manure,maize stover (high C:N),NA,variable,NA,NA,Present,NA,Stover,NA
5014,2002-14,3,1;2;3;4;5;6;7;8;9;10;11;12;13;14,NA,phosphorus mineral fertilizer,60 kg P/ha as triple superphosphate,NA,0 kg N/ha,60 kg P/ha,Absent,Absent,NA,(-N),NA
5014,2002-14,4,1;2;3;4;5;6;7;8;9;10;11;12;13;14,NA,nitrogen mineral fertilizer; phosphorus mineral fertilizer,"120 kg N/ha mineral fertilizer applied every growing season as split application (1/3 at planting, 2/3  top dressed after 8 weeks); 60 kg P/ha as triple superphosphate",NA,120 kg N/ha,60 kg P/ha,Absent,Absent,NA,(+N),NA
5015,2016-2,0,1;2,NA,unamended,NA,NA,NA,NA,NA,NA,NA,C,NA
5015,2016-2,1,1;2,NA,nitrogen mineral fertilizer; phosphorus mineral fertilizer,nitrogen mineral fertilizer; triple super phosphate (TSP),60 kg N/ha; 90 kg P/ha,60 kg N/ha,90 kg P/ha,Absent,Absent,NA,F,NA
5015,2016-2,2,1;2,NA,nitrogen mineral fertilizer; phosphorus mineral fertilizer; green manure,nitrogen mineral fertilizer; triple super phosphate (TSP); crop residue,60 kg N/ha; 90 kg P/ha,60 kg N/ha,90 kg P/ha,NA,Present,NA,RF,NA
5015,2016-2,3,1;2,NA,nitrogen mineral fertilizer; phosphorus mineral fertilizer; green manure; animal fertilizer,nitrogen mineral fertilizer; triple super phosphate (TSP); crop residue manure; unspecified animal fertilizer,60 kg N/ha; 90 kg P/ha,60 kg N/ha,90 kg P/ha,Present,Present,NA,RFM,NA
5015,2016-2,4,1;2,NA,green manure; green manure; animal manure,crop residue; unspecified animal manure; Tithonia diversifolia,60 kg N/ha,60 kg N/ha,Present,Present,Present,NA,RTiM,NA
5015,2016-2,5,1;2,NA,green manure; animal manure; phosphorus mineral fertilizer,crop residue; Tithonia diversifolia intercrop; phosphate rock (Minjingu),60 kg N/ha,60 kg N/ha,90 kg P/ha,Present,Present,NA,RTiP,NA
5015,2016-2,6,1;2,NA,green manure; animal manure; legume intercrop,crop residue; unspecified animal manure; Dolichos lablab intercrop,60 kg N/ha,60 kg N/ha,Present,Present,Present,NA,RML,NA
5016,2013-4,0,1;2;3;4,NA,unamended,NA,NA,0 kg N/ha,0 kg P/ha,0 kg K/ha,Absent,NA,NA,NA
5016,2013-4,1,1;2;3;4,NA,phosphorus mineral fertilizer; potassium mineral fertilizer,muriate of potash; triple superphosphate,40 kg P/ha; 60 kg K/ha,0 kg N/ha,40 kg P/ha,60 kg K/ha,Absent,NA,NA,NA
5016,2013-4,2,1;2;3;4,NA,nitrogen mineral fertilizer; potassium mineral fertilizer,urea; muriate of potash,NA,150 kg N/ha,0 kg P/ha,60 kg K/ha,Absent,NA,NA,NA
5016,2013-4,3,1;2;3;4,NA,nitrogen mineral fertilizer; phosphorus mineral fertilizer,urea; triple superphosphate,NA,150 kg N/ha,40 kg P/ha,0 kg K/ha,Absent,NA,NA,NA
5016,2013-4,4,1;2;3;4,NA,nitrogen mineral fertilizer; phosphorus mineral fertilizer; potassium mineral fertilizer,urea; muriate of potash; triple superphosphate,NA,150 kg N/ha,40 kg P/ha,60 kg K/ha,Absent,NA,NA,NA
5017,2006-11,0,1;2;3;4;5;6;7;8;9;10;11,NA,unamended,NA,NA,NA,NA,NA,NA,NA,NA,NA
5017,2006-11,1,1;2;3;4;5;6;7;8;9;10;11,"half applied at planting, other half six weeks later",nitrogen mineral fertilizer; phosphorus mineral fertilizer; potassium mineral fertilizer,Mavuno (NPK 10:26:10),50-60 kg N/ha,50-60 kg N/ha,Present,Present,Present,NA,NA,NA
5017,2006-11,2,1;2;3;4;5;6;7;8;9;10;11,incorporated to 20 cm depth,biochar,pyrolysis Acacia spp. Wood,100 Mg dry weight/ha,Absent,Present,Present,Present,NA,NA,NA
5017,2006-11,2,1;2;3;4;5;6;7;8;9;10;11,NA,bare fallow,NA,NA,NA,NA,NA,NA,NA,NA,NA
5018,2016-2,0,1;2,NA,Unamended,NA,NA,NA,NA,NA,NA,NA,Control,NA
5018,2016-2,1,1;2,NA,Nitrogen Mineral Fertilizer,unspecified mineral fertilizer (60 kg N/ha),60 kg N/ha,NA,NA,NA,NA,NA,F,NA
5018,2016-2,2,1;2,NA,Nitrogen Mineral Fertilizer; Green Manure,mineral fertilizer and crop residue (equavilent to 60 kg N/ha),60 kg N/ha,NA,NA,NA,NA,NA,RF,NA
5018,2016-2,3,1;2,NA,Unspecified Mineral Fertilizer; Green Manure; Animal Manure,"unspecified mineral fertilizer, crop residue manure, unspecified animal fertilizer (equavilent to 60 kg N/ha)",60 kg N/ha,NA,NA,NA,NA,NA,RFM,NA
5018,2016-2,4,1;2,NA,Green Manure; Animal Manure; Legume Intercrop,"crop residue, unspecified animal manure, Dolichos lablab intercrop (equavilent to 60 kg N/ha)",60 kg N/ha,NA,NA,NA,NA,NA,RML,NA
5018,2016-2,5,1;2,NA,Green Manure; Animal Manure; Legume Intercrop,"crop residue, unspecified animal manure, Tithonia diversifolia (equavilent to 60 kg N/ha)",60 kg N/ha,NA,NA,NA,NA,NA,RTiM,NA
5018,2016-2,6,1;2,NA,Green Manure; Legume Intercrop; Mineral Fertilizer,"crop residues, Tithonia diversifolia intercrop, phosphate rock (Minjingu) (equavilent to 60 kg N/ha)",60 kg N/ha,NA,NA,NA,NA,NA,RTiP,NA
5018,2016-2,7,1;2,NA,NA,NA,NA,NA,NA,NA,NA,NA,D15,"conventional tillage, 15 cm depth"
5018,2016-2,8,1;2,NA,NA,NA,NA,NA,NA,NA,NA,NA,D0,"minimum tillage, 0 cm depth in interrow, mix in amendments in row"
5019,2014-2,0,1;2,NA,Unamended,unfertilized,NA,NA,NA,NA,NA,NA,NA,NA
5019,2014-2,1,1;2,NA,Biological,Biofix® soya from MEA Ltd (Kenya) containing Bradyrhizobium diazoefficiens strain USDA110,NA,NA,NA,NA,NA,NA,NA,NA
5019,2014-2,2,1;2,NA,Biological,Legumefix® soya from Legume technology (UK) containing Bradyrhizobium japonicum strain 532c,NA,NA,NA,NA,NA,NA,NA,NA
5020,2015-1,0,1,NA,Unamended,unfertilized,NA,NA,NA,NA,NA,NA,NA,NA
5020,2015-1,1,1,NA,Nitrogen Mineral Fertilizer; Phosphorus Mineral Fertilizer; Potassium Mineral Fertilizer,Urea; Triple superphosphate; Muriate of potash,NA,NA,NA,NA,NA,NA,NA,NA
5020,2015-1,2,1,NA,Animal Manure; Nitrogen Mineral Fertilizer; Phosphorus Mineral Fertilizer,Farm yard manure; Urea; Triple superphosphate,NA,NA,NA,NA,NA,NA,NA,NA
5020,2015-1,3,1,NA,Nitrogen Mineral Fertilizer; Phosphorus Mineral Fertilizer; Potassium Mineral Fertilizer; Micronutrient Mineral Fertilizer,Mavuno; Zinc oxide; Copper oxide,NA,NA,NA,NA,NA,NA,NA,NA
5020,2015-1,4,1,NA,Nitrogen Mineral Fertilizer; Phosphorus Mineral Fertilizer; Potassium Mineral Fertilizer; Micronutrient Mineral Fertilizer,Urea; Triple superphosphate; Muriate of potash; Mavuno; Zinc oxide; Copper oxide,NA,NA,NA,NA,NA,NA,NA,NA
5021,2003-13,0,1;2;3;4;5;6;7;8;9;10;11;12 13,NA,Nitrogen Mineral Fertilizer; Phosphorus Mineral Fertilizer; Potassium Mineral Fertilizer,Urea; Triple superphosphate; Muriate of potash,up to 60 kg N/ha,up to 60 kg N/ha,Present,Present,Absent,NA,NA,NA
5021,2003-13,1,1;2;3;4;5;6;7;8;9;10;11;12 13,NA,Nitrogen Mineral Fertilizer; Phosphorus Mineral Fertilizer; Potassium Mineral Fertilizer; Animal Manure,Farm yard manure; Urea; Triple superphosphate; Muriate of potash,up to 60 kg N/ha,up to 60 kg N/ha,Present,Present,Present,NA,NA,NA
5022,2015-2,0,1;2,NA,Unamended,unfertilized,NA,NA,NA,NA,NA,NA,NA,NA
5022,2015-2,1,1;2,NA,Nitrogen Mineral Fertilizer; Phosphorus Mineral Fertilizer,diammonium phophate,"DAP, 18:46:0",40 kg N/ha,Present,Absent,Absent,NA,NA,NA
5022,2015-2,2,1;2,NA,Animal Manure,fresh cattle manure,10 t/ha,29.5 kg N/ha,Present,Present,Present,NA,NA,NA
5022,2015-2,3,1;2,NA,Nitrogen Mineral Fertilizer; Phosphorus Mineral Fertilizer; Animal Manure,diammonium phophate; fresh cattle manure,"DAP, 18:46:0; manure, 10 t/ha",34.7 kg N/ha,Present,Present,Present,NA,NA,NA
5023,2013-2,0,1;2,NA,Unamended,unfertilized,NA,NA,NA,NA,NA,NA,NA,NA
5023,2013-2,1,1;2,NA,Phosphorus Mineral Fertilizer,Triple superphosphate,60 kg/ha,Absent,Present,Absent,Absent,NA,TSP,NA
5023,2013-2,2,1;2,NA,Nitrogen Mineral Fertilizer; Phosphorus Mineral Fertilizer,Urea; Triple superphosphate,60 kg/ha TSP; 100 kg N/ha urea,100 kg N/ha,Present,Absent,Absent,NA,TSP-Urea,NA
5023,2013-2,3,1;2,NA,Green manure,Water hyacinth compost,NA,100 kg N/ha,Present,Present,Present,NA,WH,NA
5023,2013-2,4,1;2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NI,uninnoculated
5023,2013-2,5,1;2,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,innoculated
5024,2013-3,0,1;2;3,NA,Unamended,unfertilized,NA,0 kg N/ha,0 kg P/ha,0 kg K/ha,Absent,NA,NA,NA
5024,2013-3,1,1;2;3,NA,Phosphorus Mineral Fertilizer; Potassium Mineral Fertilizer,Triple super phosphate; Muriate of potash,NA,0 kg N/ha,40 kg P/ha,60 kg K/ha,Absent,NA,NA,NA
