"paper_id","doi","loc_multi","soil_type","city","country","elevation","year_start","years_num","annual_precip","field_history","years_tillage_implemented","exp_design","exp_arrangement","reps","plot_width","plot_length","trtmt_levels","trtmt_main","trtmt_main_levels","trtmt_splitA","trtmt_splitA_levels","trtmt_splitB","trtmt_splitB_levels","trtmt_splitC","trtmt_splitC_levels","DESCRIPTIO"
6000,"10.1016/j.fcr.2020.107833",1,"Nitisol","Kibugu","Kenya",NA,2017,2,"875","farmer's fields",2,"one replicate randomized design on 10 farms","split plot",1,5,10,2,"tillage",2,"manure addition",2,NA,NA,NA,NA,"Maize mixed"
6000,"10.1016/j.fcr.2020.107833",2,"Cambisol","Machang’a","Kenya",NA,2017,2,"335","farmer's fields",2,"one replicate randomized design on 10 farms","split plot",1,3.5,5,2,"tillage",2,"manure addition",2,NA,NA,NA,NA,"Maize mixed"
6001,"10.1016/j.geodrs.2020.e00287",1,"Humic Nitisols","Kangutu primary school in Meru South sub-County","Kenya",NA,2016,2,"769","primary school",2,"randomized complete block",NA,4,NA,NA,1,"tillage",2,NA,NA,NA,NA,NA,NA,"Maize mixed"
6001,"10.1016/j.geodrs.2020.e00287",2,"Nitisols","Kenya Agricultural and Livestock Organization (KALRO) farm in Kandara sub-county","Kenya",NA,2016,2,"469","research farm",2,"randomized complete block",NA,4,NA,NA,1,"tillage",2,NA,NA,NA,NA,NA,NA,"Maize mixed"
6002,"10.1016/j.fcr.2020.107738",1,"Acri-Rhodic Ferrassols","Kenya Agricultural and Livestock Research Organization’s Kiboko Crops Research Station","Kenya","975",2013,4,"587","research farm",4,"randomized complete block","split split plot",3,6,7,3,"tillage",2,"crop diversity",2,"maize genotype",6,NA,NA,"Maize mixed"
6003,"10.4081/ija.2020.1381",1,"Humic Nitisols","Kangutu primary school in Meru South sub-County","Kenya",NA,2016,2,"1088","primary school",2,"randomized complete block","split plot",4,NA,NA,2,"tillage",2,"nutrient amendment",7,NA,NA,NA,NA,"Maize mixed"
6003,"10.4081/ija.2020.1381",2,"Nitisols","Kenya Agricultural and Livestock Organization (KALRO) farm in Kandara sub-county","Kenya",NA,2016,2,"634.5","research farm",2,"randomized complete block","split plot",4,NA,NA,2,"tillage",2,"nutrient amendment",7,NA,NA,NA,NA,"Maize mixed"
6004,"10.3389/fenvs.2019.00097",1,"Eutric Nitisol","Kenya Agricultural and Livestock Research Institute (KALRO) Kakamega in Kakamega County","Kenya","1534",2010,6,"1978","research farm",6,"randomized complete block","split split plot",3,8,10,3,"tillage",2,"crop diversity",2,"crop residues",2,NA,NA,"Maize mixed"
6004,"10.3389/fenvs.2019.00097",2,"Ferralsol","Nyabeda in Siaya County","Kenya","1420",2003,15,"1800","unspecified",15,"randomized complete block","split split plot",2,8,10,3,"tillage",2,"crop diversity",3,"crop residues",2,NA,NA,"Highland perennial"
6004,"10.3389/fenvs.2019.00097",3,"Humic Nitisols","Agricultural and Livestock Research Institute (KALRO) in Embu
County","Kenya","1420",2010,6,"1250","research farm",6,"randomized complete block","split split plot",3,8,10,3,"tillage",2,"crop diversity",2,"crop residues",3,NA,NA,"Maize mixed"
6005,"10.1016/j.agwat.2019.03.014",1,"Humic Nitisols","Chuka, Tharaka-Nithi County","Kenya",NA,2016,2,"1200 to 1400","primary school's land",2,"randomized complete block","split-plot",4,4.5,6,2,"tillage",2,"fertilizer type",7,NA,NA,NA,NA,"Maize mixed"
6005,"10.1016/j.agwat.2019.03.014",2,"Nitisols","Kandara, Murang'a County","Kenya",NA,2016,2,"900 to 1400","research farm",2,"randomized complete block","split-plot",4,4.5,4.5,2,"tillage",2,"fertilizer type",7,NA,NA,NA,NA,"Maize mixed"
6006,"10.1016/j.geodrs.2018.e00193",1,"Humic Nitisols","Kangutu primary school in Meru South sub-County","Kenya",NA,2016,2,"1088","primary school",2,"randomized complete block","split plot",NA,NA,NA,2,"tillage",2,"nutrient amendment",7,NA,NA,NA,NA,"Maize mixed"
6006,"10.1016/j.geodrs.2018.e00193",2,"Nitisols","Kenya Agricultural and Livestock Organization (KALRO) farm in Kandara sub-county","Kenya",NA,2016,2,"634.5","research farm",2,"randomized complete block","split plot",NA,NA,NA,2,"tillage",2,"nutrient amendment",7,NA,NA,NA,NA,"Maize mixed"
6007,"10.1016/j.fcr.2018.03.024",1,"Humic Nitisols","Kenya Agricultural and Livestock Research Organisation Research Station at Embu","Kenya","1425",2015,2,NA,"research farm",2,NA,"split split plot",3,12.25,31,3,"tillage",2,"surface residue",3,"fertilizer rates",3,NA,NA,"Maize mixed"
6007,"10.1016/j.fcr.2018.03.024",1,"Humic Nitisols","Kenya Agricultural and Livestock Research Organisation Research Station at Embu","Kenya","1425",2015,2,NA,"research farm",2,NA,"split plot",3,12.25,31,3,"fertilizer rate",5,"tillage",2,NA,NA,NA,NA,"Maize mixed"
6008,"10.1016/j.agee.2017.11.004",1,"Acric Ferralsols","Kisumu","Kenya","1330",2004,12,"1727","farmer's fields",12,NA,"split split split plot",4,4.5,6,3,"tillage",2,"surface residue",2,"crop rotation",4,NA,NA,"Highland perennial"
6009,"10.1007/s11104-017-3401-z",1,"Typic Rhodiudox (WRB Ferralsol)","Nyabeda","Kenya","1320",2003,10,"1727","research farm",10,"randomized complete block",NA,4,4.5,7,1,"tillage*surface residue",4,NA,NA,NA,NA,NA,NA,"Highland perennial"
6010,"10.1016/j.still.2017.04.001",1,"Cambisols with cambic B horizons","Mbeere South sub-county, Embu County","Kenya","700 to 1200",2011,3,"700 to 900","farmer's fields (12 farms)",3,"randomized incomplete block",NA,4,6,6,1,"tillage or surface residue",4,NA,NA,NA,NA,NA,NA,"Maize mixed"
6010,"10.1016/j.still.2017.04.001",2,"Humic Nitisols","Meru South sub-county, Tharaka-Nithi County","Kenya","1500",2011,3,"1200 to 1400","farmer's fields (12 farms)",3,"randomized incomplete block",NA,4,6,6,1,"tillage or surface residue",4,NA,NA,NA,NA,NA,NA,"Maize mixed"
6011,"10.1016/j.still.2016.09.003",1,"Typic Rhodiudox (WRB Ferralsol)","Nyabeda","Kenya","1320",2003,10,"1727","research farm",10,"randomized complete block",NA,4,4.5,7,1,"tillage*surface residue",4,NA,NA,NA,NA,NA,NA,"Highland perennial"
6012,"10.1071/SR15074",1,"Rhodic Ferralsols","Malanga","Kenya","1320",2005,8,"1796","farmer's field (long term research study)",8,"randomized complete block","factorial combination of split plot",4,4.5,7,2,"tillage",2,"surface residue",2,NA,NA,NA,NA,"Maize mixed"
6013,"10.1017/S0014479714000556",1,"Humic Nitisols","Mariani, Lower Midlands","Kenya","900",2010,3,"800-1400","farmer's fields (5 farms)",3,"randomized complete block",NA,5,NA,NA,1,"tillage",4,NA,NA,NA,NA,NA,NA,"Maize mixed"
6013,"10.1017/S0014479714000556",2,"Humic Nitisols","Mworoga, Lower Midlands","Kenya","900",2010,3,"800-1400","farmer's fields (5 farms)",3,"randomized complete block",NA,5,NA,NA,1,"tillage",4,NA,NA,NA,NA,NA,NA,"Maize mixed"
6013,"10.1017/S0014479714000556",3,"Humic Nitisols","Kyeni, Upper Midlands","Kenya","1200",2010,3,"800-1400","farmer's fields (5 farms)",3,"randomized complete block",NA,5,NA,NA,1,"tillage",4,NA,NA,NA,NA,NA,NA,"Maize mixed"
6013,"10.1017/S0014479714000556",4,"Humic Nitisols","Mweru, Upper Midlands","Kenya","1200",2010,3,"800-1400","farmer's fields (7 farms)",3,"randomized complete block",NA,7,NA,NA,1,"tillage",4,NA,NA,NA,NA,NA,NA,"Maize mixed"
6014,"10.1016/j.agee.2015.04.001",1,"Ferralsol","n Nyabeda, Siaya district, Nyanza province","Kenya","1420",2003,10,"1800","long term research station",6,"randomized complete block","split plot",4,2,4.5,3,"tillage",2,"surface residue",2,"faunal exclusion",2,NA,NA,"Highland perennial"
6015,"10.1371/journal.pone.0133976",1,"Ferrasol","Manor House Agricultural Center (Manor House) in Trans-Nzoia County","Kenya","1890",2011,3,"1300","research farm",3,"randomized complete block","split plot",4,10,10,2,"tillage",3,"crop diversity",3,NA,NA,NA,NA,"Maize mixed"
6015,"10.1371/journal.pone.0133976",2,"Ferrasol","Mabanga Farmers Training Center (Mabanga) in Bungoma County","Kenya","1433",2011,3,"1100","research farm",3,"randomized complete block","split plot",4,10,10,2,"tillage",3,"crop diversity",3,NA,NA,NA,NA,"Maize mixed"
6016,"10.1007/s10705-014-9649-2",1,"Ferrasol","African Network for Soil Biology and Fertility (AfNet) of the International Center for Tropical Agriculture (CIAT), Nyabeda","Kenya","1420",2003,5,"1580","long term research station",5,NA,"split-split plot",4,NA,NA,3,"tillage",2,"surface residue",2,"crop rotation",3,NA,NA,"Highland perennial"
6017,"10.1016/j.catena.2014.05.026",1,"Humic Nitisol","Kigogo","Kenya","1398",2010,2,"700-900",NA,2,"randomized complete block",NA,3,3,10,1,"tillage, cropping, mulching",4,NA,NA,NA,NA,NA,NA,"Maize mixed"
6017,"10.1016/j.catena.2014.05.026",2,"Plinthic Cambiso","Machang’a","Kenya","1006",2010,2,"1200-1400",NA,2,"randomized complete block",NA,3,3,10,1,"tillage, cropping, mulching",4,NA,NA,NA,NA,NA,NA,"Maize mixed"
6018,"10.1016/j.agwat.2014.01.014",1,"humic Nitisols","Kigogo, Meru South sub-county, Tharaka-Nithi County","Kenya","1500",2011,1,"1451","primary school",1,"randomized complete block",NA,3,3,12,1,"tillage, cropping, mulching",4,NA,NA,NA,NA,NA,NA,"Maize mixed"
6018,"10.1016/j.agwat.2014.01.014",2,"plinthic Cambisols","Machang'a, Mbeere South sub-county, Embu County","Kenya","700-1200",2011,1,"516","secondary school",1,"randomized complete block",NA,3,3,12,1,"tillage, cropping, mulching",4,NA,NA,NA,NA,NA,NA,"Maize mixed"
6019,"10.22069/IJPP.2013.1117",1,"eutric Nitisol","Kenya Agricultural Research Institute (KARI) Kakamega","Kenya","1534",2008,2,"1978","long term research station",2,"randomized complete block",NA,NA,5,6,1,"tillage*fertilizer",8,NA,NA,NA,NA,NA,NA,"Maize mixed"
6019,"10.22069/IJPP.2013.1117",2,"ferralo-orthic Acrisol","Lubao sub-location","Kenya","1558",2008,2,"1612","farmer's fields",2,"randomized complete block",NA,NA,5,6,1,"tillage*fertilizer",8,NA,NA,NA,NA,NA,NA,"Maize mixed"
6019,"10.22069/IJPP.2013.1117",3,"nito-rhodic Ferralsol","Virhembe sub-location","Kenya","1569",2008,2,"2232","farmer's fields",2,"randomized complete block",NA,NA,5,6,1,"tillage*fertilizer",8,NA,NA,NA,NA,NA,NA,"Maize mixed"
6020,"10.1016/j.agee.2012.10.003",1,"Ferrasol","Nyabeda","Kenya","1420",2003,6,"1800","long term research station",2,"randomized complete block",NA,4,4.5,7,2,"tillage",2,"surface residue",2,NA,NA,NA,NA,"Highland perennial"
6021,"10.1016/j.agwat.2012.09.002",1,"Luvisol","Kampi ya Mawe Agricultural field station","Kenya","1155",2007,4,"600","long term research station",4,"randomized complete block","split plot",3,5,7,2,"tillage",3,"crop diversity",4,NA,NA,NA,NA,"Maize mixed"
6022,"10.1016/j.apsoil.2012.03.004",1,"oxidic Ferralsol","Nyabeda","Kenya",NA,2003,5,NA,"long term research station",5,"split–split–split plot",NA,3,NA,NA,3,"tillage",2,"crop residue",2,"crop type",4,NA,NA,"Highland perennial"
6022,"10.1016/j.apsoil.2012.03.004",2,"orthic Acrisols","Matayos","Kenya",NA,2005,3,NA,NA,3,"split–split–split plot",NA,2,NA,NA,3,"tillage",2,"crop residue",2,"crop type",4,NA,NA,"Highland perennial"
6022,"10.1016/j.apsoil.2012.03.004",3,"chromic Cambisols","Machang'a","Kenya",NA,2005,3,NA,NA,3,NA,NA,3,NA,NA,1,"tillage*residue*manure",7,NA,NA,NA,NA,NA,NA,"Maize mixed"
6023,"10.1016/j.fcr.2011.03.002",1,"Humic Nitisols","Kirege Location, Chuka Division of Meru South District","Kenya","1429",2007,2,"1500","farmer's fields",2,"full factorial",NA,3,4,4,2,"tillage",2,"crop diversity",3,NA,NA,NA,NA,"Maize mixed"
6025,"10.1017/S0014479711000895",1,"oxidic Ferralsol","Nyabeda","Kenya","1420",2003,5,"1800","on-farm researcher-managed",4,"full factorial","spli-split-split plot",4,NA,NA,3,"tillage",2,"crop residue",2,"crop rotation",3,NA,NA,"Highland perennial"
6026,"10.2134/agronj2010.0359",1,"Humic Nitisols","Murugi Location, Meru South District","Kenya",NA,2007,3,"1500","farmer's fields (21 farms), managed by researchers",3,"split-plot",NA,6,NA,NA,1,"tillage",2,"crop residue",2,"soil fertility",3,NA,NA,"Maize mixed"
6027,"10.1016/j.still.2011.08.010",1,"eutric Nitisol","Kenya Agricultural Research Institute (KARI) Kakamega","Kenya","1534",2008,2,"1978","long term research station",2,"randomized complete block",NA,NA,5,6,1,"tillage*fertilizer",8,NA,NA,NA,NA,NA,NA,"Maize mixed"
6027,"10.1016/j.still.2011.08.010",2,"ferralo-orthic Acrisol","Lubao sub-location","Kenya","1558",2008,2,"1612","farmer's fields",2,"randomized complete block",NA,NA,5,6,1,"tillage*fertilizer",8,NA,NA,NA,NA,NA,NA,"Maize mixed"
6027,"10.1016/j.still.2011.08.010",3,"nito-rhodic Ferralsol","Virhembe sub-location","Kenya","1569",2008,2,"2232","farmer's fields",2,"randomized complete block",NA,NA,5,6,1,"tillage*fertilizer",8,NA,NA,NA,NA,NA,NA,"Maize mixed"
6028,"10.1007/s10705-011-9423-7",1,"chromic cambisols","Machang'a, Mbeere South sub-county, Embu County","Kenya","1050",2005,3,"550-1200",NA,3,"split-plot",NA,3,NA,NA,2,"tillage",3,"crop residue",2,"soil fertility",2,"nitrogen fertilizer",2,"Maize mixed"
